,image,ground_truth,tesseract,easyocr
0,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2142x141 at 0x7D6DD319BF90>,وصفاً مجملاً لحالة المغرب خلال سنة 2005، مثيراً ، في سياق ذلك ، التساؤلات الكبرى,"و اث
حلم خالد
صف للع نب 1
‎١‏ حال ل 0
2ه ل
2005 ضرا ء :
- ضيبا ماد لأى مع
المشساز ,لي
8 1""
","حالا مح٥ً لحالدالمح صف سراء ذ سب مه دلل ا ,لسادلان للورا ها )4~5ه2"
1,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2159x228 at 0x7D6DD1F86490>,وهلال خازن عفيف للحج .  بدأت قوافل الحجيج حاج إثر آخر يلبي,"“ان طازن, عض للهبع “د أات اطع لجيج ما رك نم مل
",عصعا معبل ل _ جا ت قواقل عا 2 إثر ~ خ ما رره للهج المجيج
2,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1508x404 at 0x7D6DD1F87E50>,النص: مشمش ، دراق ، غيظ ، ناء ،  بث ، نسر .,"الى : محش د راك حيظ ؛ نأد؛ جمبثت اجر
","لبث دراد , خيظ ' نا ء مهمم الذم نسلن"
3,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1236x103 at 0x7D6DD1FA03D0>,و هي التي جعلته كريما على فقره .,"هو هى انوا كلت دريما كل موه .
",لريما ىلى ححلد الد مشظو ه
4,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1873x110 at 0x7D6DD1FA0950>,مثل أنقض بغـلس له الضابط لزمتك. سألت راجح هل أبلغ أصحابنا,"ملا دمض نغلس هف الطابط لزمتك ساهه راجع هل أبلؤ أصمجاين!١‏
",امجا سالت راجح هل لل الطا  ط مث ' نقحى ابل  بنا لرمرك نغلل
5,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2065x191 at 0x7D6DD1FA0ED0>,الأدب عامة ، و الأدب السعبي خاصة ، لمزيد من التقصي و البحث و التحليل ،,": ‏لادب عاميى رالاء بن المصج عل اهدم"" ( لير م الى والبعرى والتسليل‎ ١
",د مو ( رال عامهً   بدالادب السثبم ادث التقدى حر بر رالبحث والدحلا
6,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2177x189 at 0x7D6DD1FA1450>,عفيف للحج .  بدأن قوافل الحجح حاج إن افر يلبي . عند وصولنا طفنا وسعينا هع شنح.,"ميت لاحر ان صاطل اكب سال امرارل_بكال م عن وص رلنا فنا معدا موك ْ
",";/`3(= ١ و٥ » 2 = حا ائرا ر 0 عنت  7 الرانت فوامل /ك,< عىد"
7,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2039x124 at 0x7D6DD1FA19D0>, هل تعلم فائدة الكلمات التالية لهذا النص: مشمش، دراق، غيظ، ناء,"هل بلج تمجابن طاع 22 ناج مى ‏ ب س تنا صن ع ظ اننا ب الحم
", صحاناذع ٥، تح فى بستى | ص عللاثنا ٥ا ٥ الدع
8,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=907x578 at 0x7D6DD1FA1F50>,غيظ ، ناء ، بث ، نسر .,"غرط » ناء » ببش + مرو .
",نر بث غح نا ء (
9,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1998x118 at 0x7D6DD1FA24D0>,والصراع  الحضاري قد  يأخذ  أشكالا  مادية - الصراع  على الوصول .,"1 ف 5 ه- ا ‎١‏ الن ب
دعساي ابخضا رى جر رخن ١#شكالد‏ مارية تصراي كى الوشول
",ال ا 9نزل ما ر^ - الصرا رى حد لا حذ ا سكاا الحعرا وللصررئ
10,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2168x120 at 0x7D6DD1FA2A10>,كيلومتر في نهر جليدي درجة حرارته 8ر1 درجة تحت الصفر، مسجلا رقما قياسيا,"مرحم ‎٠.‏ 32 أ 5 1 0 42
لمصسري بير صليرئ درمة عازه ,| درهةفن لسر ؛ صسورر سما صياجها
","ا صاسا مسوا 6 8 ,| >شآحن اص~ د-جه ? ارره للدعم غ نه ملبدي"
11,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2286x141 at 0x7D6DD1FA2F90>,ناهيك عن الخسارهـ الفادحه للأخشاب و الثروة النباتيه و الحيوانيه والبشريه,"ناك 555 لهساره العاوجم لاع ساب و التروهم الجا وباحبيو الىم والسترت
0 1 ء
", ن | ناصك حن المنسار4 الحادح للاخمشاب والترده اللذانب و _ الجبو =لسر اله
12,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2137x173 at 0x7D6DD1FA3510>, ب س ش ص غ هـ أننا في الحج . هل تعلم فائدة الكلمات,"سن يلن صنلرء 4 نور ا ك0 مل عمد ا سر لكل >

١
", ٧٧  د { > 3 ص ع 0 { ا سس مل لعار
13,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2086x122 at 0x7D6DD1FA3A90>,لايخطئ ، وهي أيضا ليست الإفراط في الواقعية والتى تعتبر,"زا يخطع » عو أ رضا لست ‎١‏ لا ءالا عم الوا فَهم وال تعر
",نصسار رحح ،و2 اثالرست ااط ار& الاا ححم و _ال
14,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2465x114 at 0x7D6DD1FB4050>,فأما الأدله التاريخية المستقاة من المصادر الأدبيه فهي تنحصر في بعض الكتب,"عاماال ذل1التاريحيا ا هسماء م نامصادر ال وبسمحطهى تتعسرئ مط اللي
",تنحصري نمص فاباللا دنا ا لتارلم  امستحا& من امصادرالا دبامه نخلت
15,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2017x90 at 0x7D6DD1FB45D0>,وعدم استقرار موظفي الوزارات والمسؤولين الإداريين ، عدم الاعتبار الممنهج للاستحقاق,"3 ا دارمينت ' سار اهم للا سهان
وعرم ١ستهرار‏ عو ظفى الوزارارك و السؤوشم الادارياكت 6 عد"" 0
","للا سكماق لإ حسبار الورارات ,السودلسس الا دارين لو وعدمم ا ستمرار احمىنح حث طح"
16,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2135x149 at 0x7D6DD1FB4B50>,مع شيخ. كان جاري في الخيمة يتكلم وهو نائم  بكلمات لا أفهمها مثل انقض بغـلس,"مع سمخ - كان جارى من انمد ينكم وهو نام يكلمات ‎١١٠6‏ فهمع| صل | نممن خلس
",وهونائ بكلفات _١٧فهمها مئل | نمتم دعلم احلدح `0 مسيح . كانا بارى يتكلم
17,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2038x119 at 0x7D6DD1FB50D0>, نائم بكلمات لا أفهمها مثل انقض بغلس له الضابط لزمتك. سألت راجع هل بلغ,"دام إلمان لد أفعمعا شل انض رغلير يت اباط نلف سس الت جم بطاخ
",تبكاسا ت لاآفه عاتل انتغا لغلرآ_ الالط ] نك ب سسآلت  جع حابغ
18,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1234x527 at 0x7D6DD1FB5650>,دراق، غيظ، ناء ،  بث ، نسر.,,نا ء عىظ - راف برث نسان
19,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1960x114 at 0x7D6DD1FB5BD0>,الواردة عن ملوك الحيرة وعرب الحيرة، أنداد الغساسنة، ولذلك لم تكن في جانبهم، وتكاد,"ٍ 2 . 1 0 م 0م و 0 97
ارده عن على قا حموط ءحرب احمره شار التشمئة ‏ وث الكل دكن يي حبائص"" وتكار
",1واد السساسه [ رلذلل لدعن ي حجاع الوارده عنعلولالحسدهً دحرب الحمره ز نكاد
20,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2156x126 at 0x7D6DD1FB6150>,الخاصة ببرامج العمل  الوطنية  إلى  أن الدولة  تضطلع  إلى  حد,"_ |] 7 7 - : ‏م الم‎ ١
‏خاصت اراس انحل الو صانا داع أن الرورك لتصطللع 61 در‎
","ن( لصحام رن ,لددلح 5٠ الحلع اوطيح ل` اصت براج"
21,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2261x108 at 0x7D6DD1FB66D0>,فإذا حان وقت النوم وضعت الحشيات على الأرض أو على أسّرة منخفضة من الخشب,"فى أوعل أاصرة ...ىو يلم نارمع
ذا حان ومح الئوم وضعت اكشاات عل الأ رصم ‎١‏ وعل | سرة منخفضيةمن طم
ود 0
",منحفضة من كش وقت النو وحفت احتيات عالا٧ رفا ٦ وعل { فاد ا حان تره
22,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1679x146 at 0x7D6DD1FB6D10>,الأحرار بأجر نقدي ، واستأجروا عمالاً أحراراً يعملون,"‎١ ١ 5 2 53 0 0‏
العا سأهر نرف وا سسا جروا ما رز ‎١‏ ماما
",لرمار امرذفرى 6ا واسما جروا عا امارا لحلول
23,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2212x140 at 0x7D6DD1FB7210>,ذهب نوح مظفر ضرغام بصحبة رؤوف بن لؤي رايق ظافر عطعوط وهلال,"دهت نوح مططر جنرخاص دعىةت رووف ددملواك رادكطا فر كطوط وهلا نل
",نوح مظضر ضرغام ببط رووف بملؤ راله ظافر كطعوط دهلال ذهت
24,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1133x816 at 0x7D6DD1FB7790>,"لفظ ""أخبار"" بمعنى ""تاريخ""،","1
١

‎٠ /‏ مار يم )
كلم يعى!
",لمخل لععى ` ما ر بخ { ادعر
25,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2096x116 at 0x7D6DD1FB7CD0>,حياً لدلالاتة القديمة في الأدب الشعبي المعاصر سواء في مشرق الوطن ومغربه ونستعرض,,ومعربه دسنم  سد +ي مشوو الوصم -ياللاب لالاته السعبق المحاح المدلمه
26,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2068x127 at 0x7D6DD1FC4290>, ظ ع ك ، ث خ ض، ب س ش، ص غ هـ أننا في الحج هل تعلم فائدة الكلمات التالية لهذا النص:,"2< عه املع خاس تن ) حىى؟ 8 السام م هل حل مام ‎١‏ نان شاه جز اررمي /
", لما ل حم ` اح هل لحل حاد - ه ب س ش  ه `  _ سح ص -٥٦ ا كل2ت ادننا ي ا ل_2
27,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2129x116 at 0x7D6DD1FC4810>,بمهمة التدريب مراتز المعلمين والجامعات ، وذلك تحت إشراف وزارة العلوم,"المكسه لمر س يبب عمللا كر للعفيند م رمحن ا و ذلك تحمل شرا رار لعفو م
",٢ إترات دزارءلعلو بمصه لتدرىب مرا تزلعليذ دلبامعات ا رذلك حت
28,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2318x414 at 0x7D6DD1FC4D90>,الزراعية والريفية،,"الزراشضية والريمهء
",لرر ميآ دارلفبه
29,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2235x147 at 0x7D6DD1FC5310>,سألت راجح هل بلغ أصعابنا ط ع ك ، ث خ ص، ب س ش، ص غ ه,"5 -- ا د م ‎١ ١‏ 5 0 5 7 1
سس ريصع “سل بط ' ممعا بض ] 7 220 ج22 مى )ب س دل وص زر
",كا ث 2 حى [ با س ر دت رجح > ل بالغ همعابا 22 ٤? - ? س
30,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2143x87 at 0x7D6DD1FC5890>,في خفض درجة الحرارة الارص . ومن حانب اخر تمنع الاشعة الحرارية,"هم خعىي درح-ة ‎١‏ رت ‎٠ : ١‏ | لاص /
",- ' حصاعابن آفرتصنع اهسعذلرريذ درحبة احس رارةً عفا خصى اه ررى
31,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2470x153 at 0x7D6DD1FC5DD0>,فألفو ذلك وقد هلك من العرب من هلك بالموت والقتل، فحفظوا أقل ذلك، وذهب,"2 2 2 1 7 .ود
",ا فاذ لك و القتل ' ذلك رقد مللا ماالت با نا هللا غااعو المو ء فحفطوا و دطر
32,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1992x113 at 0x7D6DD1FC6350>,أن العقيدة كلما اقتربت من فكرة التدحيد والايمان بالحياة الأخرى.,"ات ابعصضرة كلى| ‎١‏ كرست من عكرة- اشوصد وادعان باضاة الأطرىف
",دادعات بالحبا ه الاع من كرت ا كلا اعمىدآ مكره التوصد
33,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2155x158 at 0x7D6DD1FC68D0>, لا أفهمها مثل انقض بغـلس له الضابط لزمتك. سألت راجح هل بلغ,"مل ؟ مرا مق١‏ فين تملس له لعي حا فشك .سسا لت 21 عمل 01
",1ه سا نمص لملس له لحادطلزتك .ب ' لن ١ ح مهها حمل
34,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2240x132 at 0x7D6DD1FC6E50>,شهد القرن الماضي إرتفاعاً ملحوظاً في معدلات درجات الحرارة,"ريل العرن اقاص ارما 00 ماموظأ ى معر.لد ت درصان ت اخ ارج
",معدلات درمات ماحوظا ` القن الا ض ارسناى ا> ار 
35,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2353x87 at 0x7D6DD1FC73D0>,حتى لا تكون هناك قطيعة تامة، وارتفعت بذلك السواحل الغربية، نتيجة انخساف الأرض،,"حقى 8 تكون هناك قضيعة تامة) وارتفعثت_ بذلى السواحجل الحرسة ء نتيعة انور إن الأرصن ‎٠١‏
",نتيحة انحساف الارض  بذلك السواحل الحزبي حت ٧ تكون هنا قطيعة تامة ( وارتفعن
36,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2129x127 at 0x7D6DD1FC7950>, لزمتك . سألت راجح هل بلغ أصحابنا ظ ع ك ، ث خ ض  ، ب س ش ، ص غ هـ,"لزمدك ‏ سال راجح هل بلع امغارنا اع لمعن جح مى © م دل 1 206 م
",٠ ٧ ٣ ٠»٤ مل بلم اصتانا ظعل ن ح ص مالث ز من را جح
37,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2002x166 at 0x7D6DD1FC7E90>,عفيف للحج . بدأت قوافل الحجيج حاج إثر   آخر يلبي .,"صميف للجع . بي أ
دأت قو ‎5١‏

فل السحس حاج ا( ‎١‏

( أ جر_بلي ,
","بلبى السجع حاج !٢ قو لبا عسميف الجح ا غل أت ا خ _,"
38,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1982x1030 at 0x7D6DD1FC8450>,في الحج . هل تعلم فائدهـ الكلمات التالية لهذا النص : مشش ،,"ي بحت , هل تعم زائزه لكات لناليه لهذا لفن : خش /
",هل نعل ئائرم كامات لئالرة لهزا لنض ٢  لحج سس .
39,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2193x136 at 0x7D6DD1FC8A10>,متوازن. وقد اتخذت مقاطع كتابة تشيان لونغ قوتها وحيويتها من السمات,"حنوازن . وخدا تمنذس مقا #ج كتائة سلبان لو نج حوراو عيوتتها مالسا
",لسا ن حيوللما 9 رحدا رمذت مفاب حتابم سمبان لونء حولها لتون حرز ا
40,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2431x173 at 0x7D6DD1FC8F10>,ذهب نوح مظفى ضرغام بصحبة دؤوف بن لؤي رايق ظافر عطعوط .وهلال خازن,"قن ده
؟ 4 :. ‎١‏
‏للارجيه عاد ا
‎٠.‏ بي
ي را 0
م
ولعو وا
و ول“ 4
إخاذن
",0 ظاف عطعوط 9علاا خازن نوح مفلغ فنرغاح بصفة رؤوفا بت لؤي هب راين
41,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1755x821 at 0x7D6DD1FC9490>,"الكلمات التالية لهذا النص: مشمش , دراق , غيظ، ناء ,  بث , نس .","العلمات انثالا لبدا اشن ‎١‏ سشمش ,دراي ر ميك ء لأه ر بك ر نمى,
",العلات الثالآلاا الممى ! محمم ردراق ر عيل ر ناء ر بث سم '
42,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1972x86 at 0x7D6DD1FC9A10>,للحج.  بدأت قوافل الحجيج حاج إثر آخر يلبي.  عند وصولنا طفنا وسعينا مع شيخ.,"للححع 1 ساد كواقل المخجحيم حام ادر ل يلى ‎٠‏ عنرو صولنا طئنا وسهيئا مج اتسرح .
",صولنا طفنا وسحينا مح لسح حاج اتر احر بلى نداد فوافل الجيج للحج عند و
43,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1958x98 at 0x7D6DD1FC9F90>,أخرى من العجز  من قبيل تفضيل هيمنة النظرة القطاعية الضيقة ؛ والكفاءة غير المتساوية,"و ا :0 8 5 00-7 )0 .: 3-5 5 5 55 5-8
",->ن الجمادة ح 5 همنه اللظره القطاعية الصحح من بل العجى مرى من لنسار لفصيل
44,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2246x161 at 0x7D6DD1FCA510>,للحج . بدأت  قوافل الحجيج  حاج إثر آخر يلبي . عند وصولنا طفنا وسعينا مع شيخ كان جاري,"[لعم ‎١‏ بدأت فوافل العجيج حاج ار يلبي. خند وج ولنا حلهضنا و سعرنا مخ تيع سكان سس رو
",حاج إنز آ خر بدأت قوافل /ل  وستينا مت سبع ٢ان >ا كئد وحولنا حمخنا 77/ الحجع يابى
45,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2412x97 at 0x7D6DD1FCAA90>,اليىئة ليست ما يحيط بنا عن قرب فقط و إنما كل شئ تىضمنه الكرة الأرضية  ، وتعتير الغابات,"السة ليست مارحيعا ينا عدر حَرب عقا و إدذا كل ش؛ فصحنه اكوْعَ الارصيية . وتعيرٌ العا
",ر رعس العا ب7 الارحس حرب حفط وإلما كل سء لمصمنه ا السة لىست ما دحرحا الآره عسه
46,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2421x322 at 0x7D6DD1FCB010>,ومن السياح الذين اختلطوا بقبائل بلاد العرب ، ولا سيما في بلاد الأنباط، من التجار وأصحاب,"وين تمه ألزيت حاطو قباط بود اموي ع ري صاى يلد كوتايا) ' الها أستا
بل نك 5 أصتأ ن
",و٣ بقبائل بلاد بإاد 1 ضاطم اصدا المباح  الزين اختلعو ال٣ب ٠ولا مما  التجار و
47,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2246x169 at 0x7D6DD1FCB590>,أو المحلية شبه الرسمية المستخدمة في المجتمعات المستقلة، بالإضافة إلى البدء في تعلم لغة,"١و‏ امحليع مدال بيجت ا 22
: لر ديك ‎١‏ سوير م2 عي لدت ماري لس تركس رالامناييم-” إك البدء في تبج لىم-
",لفه امحلال س~ الراصخ الستخدبة فسوااجتهمات | لستقلة بالاضاؤم إك البدء فع لملا
48,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2312x187 at 0x7D6DD1FCBB10>,خوليا  دام عدة أيام اجزاء من المانيا وتسبب بفيضانات شديدة,"حوليا ادام عدن أيام | جرناء من الحعاشأ وتسشرن شضائان شد بده
","0 المانيا ونسب بببضانان سدبد اس / جزا , عدن رام أ با م حولا"
49,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1551x568 at 0x7D6DD1FD00D0>,: مشمش، دراق، غيظ ، ناء ،  بث ، نسر .,,ناء  ت رراق / متمس عاراا لر
50,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1979x97 at 0x7D6DD1FD0650>,وهلال خازن عفيف للجج. بدأت قوافل الحجيج حاج إثر آخر يلبي .,,بدآت قوافل الحجيج حاج اثر آخد وفيق للجج وملال يلبب ندا ر ه
51,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2484x172 at 0x7D6DD1FD0BD0>,وىعي الطريقة الطبيعية للتطريد في النحل وبها يزيد من عدد طوائفه.يخزن النحل الصغير العسل في أعلى القرص,"اام نز صل اكفن. نت الدشل الام عسل ,عر الو ير
ودعي الطريّعة الولبيعية التطريدي التو وها دزيد م لخر طرواتف .ور 7
",و الخلا اارندص اعردمط واعفه لحرن الدول اص مرال ق سل ث أعار المبحم زلحل المطريهة التطرا الذراعم
52,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1776x118 at 0x7D6DD1FD1110>,بكلمات لا افهها مثل انقض بغلس له الضابط لنعتك . سألت راجح,"بكلعات د افيها مثل بعلت 2ت نهنا با منمتك . بآلت راجم
",سه آلت نه لنعك دعلىن افعء حثلد لد بجلعات )
53,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2194x157 at 0x7D6DD1FD1690>,وسعينا مع شيخ. كان جاري في الخيمة يتكلم وهو نائم  بكلمات لا أفهمها مثل,"وناكسا مع بيرم . ىن جار م كفت تكلم وهوما نس تولمت ‎١3‏ يمسا مدن
",_لللتيب ٥ع عذل لللمسات لراادما لن٢ 9 ئ جا رعا سيح رانا تل النسد دهونا
54,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2013x114 at 0x7D6DD1FD1C10>, عند وصولنا طفنا وسعينا مع شيخ .كان جاري في الخيمه يتكلم وهو نائم  بكلمات,"عند وفيوثنا طيْنا وسعنامع شيخ .كان حرق ق اللخبحه يكلم وهو نام يكلمات
",زام بكلمات عىد وهولنا طفنا وسعنا مع سيخ كان جارؤ فى ألخبوه نتكلم وهو
55,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1885x111 at 0x7D6DD1FD2150>,خازن عفيف للحج .  بدأت قوافل الحجيج حاج إثر آخر يلبي .,"خا ,4 كفيف للع . برا قواءل الحجهر عاج إث آجز يلن .
",حا ج إتر ~ قواغل كعط /} 3 سجه بدآ ت الحجي طلب
56,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1334x780 at 0x7D6DD1FD26D0>, واراق ، غيظ ، ناء ، بث ، نسر .,"عدا
ألم , جره 411
عرظل ذا ْ

َ

سى ) !.

: ل
",ناد ابت ( عط راراو
57,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2210x165 at 0x7D6DD1FD2C50>,بلغ أصحابنا ظ ع كـ ، ث خ ض، ب س ش، ص غ هـ أننا في الحج هل تعلم فائدة,"بلع أمحاما ظع ك١اث‏ م ضي؛ باه) شاءصاع ه أننا في الع .مد( على خا ثدة
",فا . حل تعلب ساش مغ دد 1 ننا في  اصحابنا ظع لاتاخ حابا الحج تدن
58,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2100x157 at 0x7D6DD1FD31D0>,وهلال خازن عفيف للحج.  بدأت قوافل الحجيج حاج إثر آخر,"نكل 7 اخىو
هلا عزيف عاج إشر
للدح . : ‎١‏
‏في
‏ل غازث 2
",الحجرج سدات دهلال خازن حيف للحح قوافل حاج اتسر خر
59,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2067x90 at 0x7D6DD1FD3750>,بدأت قوافل الحجيج حاج إثر آخر يلبي . عند وصولنا طفنا وسعينا مع شيخ . كان جاري في الخيمة,"دراات قوافل الحتيم حاج إثر آض لبى . عدن وصولن] طفم رسقيا مع شم . كام حارى ىن اكيسة
",ت اخيدا كا~ د رك طع رسئ ٣ سح حاج انر آنس اليس قوا ثل ت ونرولرا السبيج عدل
60,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2181x203 at 0x7D6DD1FD3CD0>,نائم  بكلمات لا أفهمها مثل انقض بغـلس له الضابط لزمتك.  سألت,"م 5 عٍِ
ع يلل سح 7ن آه 2 م ,
", تل ا آع ؟ت سآلت ر سنا ٩ ال فا سع ر آغها سفح علم
61,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2112x129 at 0x7D6DD1FDC290>,اوكسيد الكربون على الاطلاق . أو تقوم الكائنات الحية الدقيقه,"0 َ- إ سر 04
ارسي اللرور ل عر (دطلاي . او ضع اللاكنات ايع الرصمصه
",لرعها تفصم الهائزات اد ارسىي الرب ~ ء لاطلاف احن
62,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2082x139 at 0x7D6DD1FDC7D0>,المرتبطه  بنظام الشريعه العامه كالتسميه  عند الطعام وإفشاء السلام,"1 مم 9 م 7 ١6م‏ بر ‎١‏
‏حم م مشروص ا عا مسر ها لسسمسسسيم عا مصلا صر عقا رام
",> لصطاح واقسا حا تطام لشراء سر بجامس سصر ٢١ »  لهس~
63,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2322x159 at 0x7D6DD1FDCD10>,ذهب نوح مظفر ضرعام بصحبة رؤوف بن لؤي رايق ظافر عطعوط وهلال,"ذضه ن رأ مغل_مري)) تسوك رتعها نر لقك رادي ظا عطعوطا رمال
",دو مخلح صذءا ا لعاصً رروم لبدلؤا اص طا' عطعوط داملال دص
64,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2316x173 at 0x7D6DD1FDD290>,بإجمال:  إن دراست  القضايا الصرفيه الكثيره التي يحفل بها الشعى العربي,"بإجمال. إن دراست لعضان لعرضت آكتثرو لق شغل ديا لز تقرس
",لكرن ل صفل لها ا~ دراست لصدادا )اصرفات ; ٧٤٧ الشر ه لم
65,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=399x495 at 0x7D6DD1FDD810>,للتبادل الحر,"مما دلد إردمس
",سا در | لدر
66,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2443x159 at 0x7D6DD1FDDD90>,ذهب نوح مطفر ضرغام بصحبة رؤوف بن لؤي رايق ظافر عطعوط وهلال خازن,"يدب دوج معلطر مطل ليم ر ؤدنبة لرذط ريق فلا ذ رعطبوط .رمه حار
",-لرا ر ارتطا نرعطلوط دصسط حار ^ لا ب~ رلب لود معنر مرنلم ددنرن 
