,image,ground_truth,tesseract,easyocr
67,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2236x95 at 0x7D6DD1FDE310>,تتكون المركبات العضوية من عنصري الكربون والأوكسجين بشكل أساسي وان,"تتعو د اكمركيات ‎١‏ مض يه عن عتصرب ا لكربوث و الالو كسجيس يتلل اساسب وا
",ية من عتصري الكربو- والاوكسجين بشل اساس وا- تتعوذ المركيات لعفر
68,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2119x110 at 0x7D6DD1FDE850>,حيث تعانى شعوب هذه الدول من الجفاف والمجاعة منذ اكثر من عشرة .,"ب دار عرب هزه الول صمر لحرا واكمجاى» صنز أك م صمر عله
",م~ع^ 6 الحفات والجاه منداكت ص الول صب نحار بتعرب ره
69,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2363x198 at 0x7D6DD1FDEE50>,على حال قبل الإسلام تمييزاً وتفريقاً لها عن الحالة التي صار عليها,"ادك صمل لاسلام تمسيزا شرق لحاعن الخال الحي با لي
",لهاع' الحالة تمبيراً عئ سمال قبل 9 الت صار الاسلام دعربهاا 
70,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2143x108 at 0x7D6DD1FDF350>,من غير معنى و لا سبب . ولكن حسه هذ  حس الصحراء، وليس في الصحراء غير نغم واحد ،,"و د عس) اتصطل و0 وليييى ل الصحرا و عير تعى وار |
دن عر معن ود سر . ولكن حسه هد ولد ف د سر لضي
",الصح ءا ولسه _ الصحر ا دسر مسح هن ولكن نمت من غي معن نعم وادمر  `)9 عء
71,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2450x173 at 0x7D6DD1FDF8D0>,ذهب نوح مظفر ضرغام بصحبة رؤوف بن لؤي رايق ظافر عطعوط وهلال,"الرق كه هدق د 0 2و2 إن رع ارو اناا روأ © ‎١‏
‏د هر نوح حظفر صر ناد رصحرة روو بن لود ىراسق هو صاء لا
",/119_ و ذ2ا نوح مظفرطر  ~ بصحا ر9وف بن لوورا ق طافر; دءر
72,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2025x1124 at 0x7D6DD1FDFE50>,أننا في الحج. هل تعلم فائدة الكلمات التالية لهذا النص: مشمش,"وتنأ ف انصع . صا تعلم ها د ة ورك لمان (رزادرة لمذ|النص : منمش
",فا عدة د6لمات النالبت لصذ االن هاا انسا ثب الحج تعلم مسش
73,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2092x120 at 0x7D6DD1FEC410>,"معها ، و من هذه الصور الكثيرة التي يقع فيها التشابه "" المثل الشعبي""","ساد اي ويتَ ريد كخدا النكتانت > الكل اتصتى 2
محراه وسمسئ يمرك الهيور ا للشمرة الى يعم 3ك ‎١‏ د 1

5-25
",الت  انتتا فسا آلت5 الك محا م وسن حرى الستني ببح المر
74,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1993x109 at 0x7D6DD1FEC990>,او نصوصاً طويله أْخذت منه، حتى يسهل علي الحكم من قراءتي.,"او دمومًا ملودلك أهنزن مزه » عتى حسهل عي الحكم من ذراء فى .
",مند ( حآى بسهل ال المكدمن فرا - تى او نصوما طودله آلزن
75,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2105x271 at 0x7D6DD1FECF10>,مما يؤدي الى بروز عصر مناخي جديد سماه العصر البشري.,"مما يؤدي أت بروز عمر ملاخي جديد سماء ١الحمر ‎١‏ لبر .
",` جدلد سماء يؤدي ا ك بروذ عصر مما منسا خ الممر لىسرى
76,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2345x177 at 0x7D6DD1FED490>,رهو نائم  بكلمات لا افهمها مثل انقض بغـلس له الضابط لزمنك,"©رنا د بل
: 1 1 (رمنل:
",ر  منل  لسفال ل القمل بعرلس ٠٧ دافم [ صد
77,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2280x154 at 0x7D6DD1FEDA10>,"مذهب الغالبية التي تجعل بداية  سنة ""115 ق  . م""، عرفنا أن تاريخ هذا النص",")| 0 00
هذهب ‎١‏ لذا ليرت الى تعل بحاي 5 )| ق. مأل عرننا ا عمإردخ هذا النس
",الغالمت الحى تمعل بدانق ن577 1 من هذا هب ق ا،عرعمًا آ تادبغخ النعع
78,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2252x140 at 0x7D6DD1FEDF90>, سنة 1888م، و كانت رحلته هذه جدا، إذا حصل على اثار,"نط 586 ام ء وكائت ر حلتدهده جد كا ذا حون على ادر
",اعء دا حمل عاى اثار جد حلح ماد ندنه 38 اص & وكانت
79,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1958x118 at 0x7D6DD1FEE510>,كثيره  والقناطر قليلة . وكانت الأحمال تنقل على ظهور البغال أو الخيل,"كتتره و ١لفناطر‏ ديلت وتانت الا مال تنعق عوصمهى ‎١‏ لغال ( اشل
","راففناطر مليلذ . وحانت الاعمال تنغل عهىطبهور اللخال } ,الخىل لتره"
80,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2328x133 at 0x7D6DD1FEEA90>,ونصوص وكتابات عربية كتبت بلهجات مختلفة   ، منها ما عثر عليه,,امسما عا غثعلد  حسلفه رسه لست رجبو رلتادات للدعحات
81,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2075x119 at 0x7D6DD1FEF010>,الاال متواضعة، وكانت تلك الطاقة مستمدة من الشمس التي تمثل عنصرا,"الال صيتواصى» 6 وكائحَ مَلْك الصرائهةمستمد هئ لمطمى افى مكل كيب ‎١‏
","حمحل ىرجدا كلك الطاق محمد م س اههت ٤لدال متواطآ, وكانت الع"
82,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1586x247 at 0x7D6DD1FEF590>,والعتبات وهنا تظهر المراوح الفيضية والهول الفيضية بدور عدد الاتصال.,"والععرد وتنا تلص لصاوي العيضرء عيضت ولعورل اهيز 5 داعال
",تظه كدر وا~٧٠٥  الححبت م هنا اله ا71 العرفد حيفه | اتقما ل لبدو/
83,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2130x152 at 0x7D6DD1FEFB10>,الصوبة الحضراء والتى يتكون معطمهَا من بخار المَاء، وثاني أكسيد,,وتانى معجم3 مئ بحا  المساد طمرء والق لعوبهً نشلوز آذلا
84,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2164x198 at 0x7D6DD1FF00D0>,هل بلغ أصحابنا ظ ع ك ، ث خ ض، ب س ش، ص غ ه,"مل لذ أمصِيما
مم : طاع : 1 سن سن

زرده 3 :.

ربا من » ن : صا

ْ م :

| 4
",0 ص ع ( ض . ب سس بلغ 1 صعان ظع ك ، تخ ل
85,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2473x182 at 0x7D6DD1FF0610>,وتتسح بالعمومية والتوحد في طبيعتها. وتضح المرحلة ستة صفوف تستغرق ست سنوات دراسية,"من صِمواتَ ‎١‏ (أيمه
حد ل
: ق تسرحرو
9 الى ا امد
مرسع ‎""١ ١‏
",وتفح لعدلة جرآ صطوق آسعو ست صحوات د رابده 9 ط لهومج 9 حدسح الترحد طببمتها. ف
86,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1242x927 at 0x7D6DD1FF0B90>,للمحافظه على حياتها في الدفاع والهجوم .,"للمحا 5 فى إزنرعا انلف حجوح .
وله عئ) سارها عي ‎١‏
‏: - 9
",وظه عكاحيابعا غيا لرغاع والحجو للمحا
87,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=461x865 at 0x7D6DD1FF1110>,البحر.,"اببحر.:
",ابح `
88,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2278x109 at 0x7D6DD1FF1650>, عند وصولنا طفنا وسعينا مع شيخ. كان جاري في الخيمه يتكلم وهو نائم  بكلمات,"‎٠ 5‏ ال 2 -م 0
انا طؤنا سعنا سمصم. كال جاربن ها | ‎١‏
‏53 / ا تكلم 7
عمم وصو 5 ع و هونا شم كات
",وهونا ئم بلامات كال~ حارب با عند ومولنا طفناوسعينا مع احذم- | سيع
89,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2168x143 at 0x7D6DD1FF1B90>,"العهد ففيها فقرات كثيرة ن عم ""وهب"" أو آخرون قالوا ذلك على لسانه،","مك دشم وهب أو ا غررن قاللة لعل لمات
العدهر منيها نثرات كشيرة ] دحب انا مررن قالاى لكرعل
","مب"" أرآخررن فالرد و الدههد فيدانترات كثف ن>م سسا نت لك حالى"
90,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2318x123 at 0x7D6DD1FF2110>,في الحج.  هل تعلم فائدة الكلمات التاليه # لهذا النص: مشمس، دراق,"راى

خساعس ر) 0007
مد ‎١‏ “لمص
لي4
لدالء
""لكمات ‎١‏
‏22
‏عل كلم
5 الع ء
",ع درا 9 ٠ م 2رد الدًالام ، هل دحام حالان الحج  ستمس الذامان الرصر =4
91,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2377x147 at 0x7D6DD1FF2690>,ذهب نوح مظفر ضرغام بصحبة رؤوف بن لؤي رايق ظافر عطعوط وهلال خازن عفيف,"ذهب بوع فظفر عر خام لقسه ير ر واوى رن لوذن را لق طاح كمهوط و قلال مازن كمزرط
",كرع و ملال ط _ كطعو لر صرعاح لصدا~ ردوفا & 9/ د مظع ملاف لول را لق هن فازن
92,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2034x116 at 0x7D6DD1FF2C10>,في الخيمه يتكلم وهو نائم  بكلمات لا أفهمها مثل انقض بفـلس له الضابط لزمتك.,"2-2 2 : واه جلا اء 7 ‎٠‏ حلص *
إثاله سدق مهنا طارص مر ا عمرهها حل نص بطمن ذه الث رط شل '
",7 آمدعا عمل الصن بدسى نت الخاط ا زعىت انده بشد دحرنا ح بامات
93,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2107x151 at 0x7D6DD1FF3190>,لا أفهمها مثل انقض بغـلس له الضابط لزمتك. سألت راجح هل بلغ أصحابنا ظ ع ك ، ت خ ض،,"لذ أصيحها مكل | نمك تلنىاء االماييهط نه تلت. را ألمت ريع هبل بلج أمسحلنا كد ع لإ وز مل)
",امامه  متل ا لفآل بخلساب المابط لزمتك . رآلت رجح مل بلح ا صحاباظ ع ا6ك خص 
94,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2337x125 at 0x7D6DD1FF3710>,وفي جملة أسباب ضيق جزيرة العرب عن استيعاب العدد الكبير,", 1 م “نرة ايها ‎١‏
‏وف جلة اسان فيق حابر الغرره عرا دعاب العم |الكبير
",ستماب الهرا لسبر 1 عث جربره الحرب مىيق ا' ساس جسل<  وف
95,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1660x371 at 0x7D6DD1FF3C90>,على # تولي المسؤوليات وممارسة حقوقهم وتهيئتهم .,"حا > حولي الهوؤو ليا رت وعسار سك حم هم و مويشسها) :
",دنهيئتها تولي السووليت وممااس4 حعًو  عمى = قهم
96,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2364x138 at 0x7D6DD1FF8210>,ذهب نوح مظفر ضرغام بصحبة رؤوف بن لؤي رايق ظافر عطعوط وهلال,"فضت نوق 7 وطفر صسرعام بصحبة روف بن زؤه رانف ظاض عطعوط وصدل
",بصحبة رؤرف بن لود راله ظامرعطجوط وملال ? نوح دظفرمنرعا رم
97,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2406x159 at 0x7D6DD1FF8790>,يعد تفسخ وتحلل المركبات العضوية من اكبر مصادر غاز ثنائي,"حر تمر كلاح ع كان الحصويع سم كر مصاوع )ل ماقي
",عار ساب تصا 7 / سرم `  كًلل اع كماسا اعصوخ 7 لعر لفح
98,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2466x587 at 0x7D6DD1FF8D10>,توازن بىين النمو والإنتاج وجودة الثمار .,"موازن بجمى الصو ما ف ساب رجور ًِ ال ازاء
",0 الغورا إ لساج سوارن بىين لحار و ? 9د
99,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2141x146 at 0x7D6DD1FF9310>,امدا طويلا وأن آفات النسيان ونلاعب الزمان بالحفضـ لا بد ان يغير,"مرا جورلا ثرا ن أعناع اسان ول عم امرامان ,| ع مف ل بد ان بعر
",بداطوبلاوان أنات السبان ونلاعب ارامان ب حسخثادان لحم
100,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2226x207 at 0x7D6DD1FF9810>,عليها الأشعة السينية : وهي عبارة عن أشعة غيرمرئية ذات,"مسن الس _ر»

وى 7 5 .
",حلددا 1رد ذ درر  اسره ر 5 ` وهس عرا السب لبه سعه ئس ان ك
101,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2237x119 at 0x7D6DD1FF9D50>, يلبي.  عند وصولنا طفنا وسعينا مع شيخ كان جاري في الخيمة,"لسلس - عدر و صو لما مدقنا و ستعمندًا مع نشي عا ن دارى ق انكجدمهة
",لحىم  فى سنب كان صونرا لفنا رسعيذامع و علد  بلبر ارك
102,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1073x450 at 0x7D6DD1FFA2D0>,# غيظ ، ناء ،  بث ، # نسر .,"كا خيفل) ناء ) بث ) ص نر .
",ست ( = غرف( نسس ساء ت
103,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2445x450 at 0x7D6DD1FFA850>,كان يربط هذا النوع من التعليم .,"عاد يريط زمداالنوعو مم التمليمم.
",التمدم النوع رسن كان در ببط لحد
104,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1752x89 at 0x7D6DD1FFADD0>,مشمش ، دراق ، غيظ ، ناء ،  بث ، ننسر .,"3 اا 0 2
صمنسعسن . د ران علط حلاى درك نسسر
", دران اعح ( ساء ث ( مسمس نس
105,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2144x113 at 0x7D6DD1FFB350>,إلى حضرموت ومهرة في الجنوب، واليمن في الغرب، وعمان في الشرق . وفيها,"أ حهر مورت ومهرة 5 الجلوب ‎٠.‏ واليمني الح سعء وعمان ى السرق “وعمهيا
",ن ي السرف وصها  ءك حفرموث ومهرة _ الجئوب ٠ واليمن  الحرب و عها
106,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2084x161 at 0x7D6DD1FFB8D0>,فكانت الأرض تزرع كل عام ولكن خصبها كان يجدد مرة كل ثلاث سنين بزرع,"‎١ 5-2‏ < ته 5 1
ضكانت الارض تزرع كل عا| وأكلر حنصم و طكادر كد د حرة الزنم ©
",ضصبر ط~ حدد م5 لل ادتس _ ضحانت الارمن دزرع كل ءآ دنكر
107,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2327x284 at 0x7D6DD1FFBE50>,". و يتم عقد برامج ""ضمان اجتماعي"" للطلاب الذين لم يحققوا المستوى المطلوب في المرحلة","4 ٠

6 عد مرا مج « عا ن اجماي » للطللان الذ بن

أ حستو ‎١‏ امسو النطلون عي الئل :
",لمر دم » هما ن (٢ الن ىن الح حله  ك لرا مج اجماعي للطلال لحفو لستوء الطلو
108,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1949x141 at 0x7D6DD2008410>,فواضح ظاهر، ولا يمكن لأحد الشك فيه و أما أثرها فيما عدا ذلك، ولا سيما,"”م 0 . ' ذا د
مواضع ظاهرء المفك., لاحد الك ضك داما انوها ضما عذا د الناء دك مسموا
",السداصه داما ابرها ميماعدا دلكء داسما دانك ~ لاحسد ، فواضح ظاهر
109,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2161x115 at 0x7D6DD2008950>,بعد. وفي الجملة إن المؤرخ الحادق الناقد لن تفوته هذه الملاحظة حين,"سساحون الحصنداإن الحو رخ الحاد ى النافد لناتعوننا دهده اام خط 1 +حين؟
",الععتدإن المورخ الحادى النافدلرتفوثاهده ااماحاحين لعد رحم
110,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2343x179 at 0x7D6DD2008E90>, مع شيخ . كان جاري في الخيمه يتكلم وهو نائم  بكلمات لا افهمها مثل انقض بغـلس,"مع شرح كانه له : جا سكج قله التضيوه متكايم ومبرنات حراس لل افزئيزا عمل تقو دكلني ”
",كه التنء4 ٠ شع دمداح بجامات ل ا9ع ؤً ممًل ` حاله عه كام الطن سكلس
111,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1132x180 at 0x7D6DD2009410>,بدأت قوافل  الحجيج حاج إثر  آ خر  يلبي .,"أن ترافل | حجيج حاج 1م حر بلس ,
",فوا طل دأ ن الححبج حاج } ت~ ^ حر يلس
112,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2007x136 at 0x7D6DD2009990>,ث خ ص، ب س ش، ص غ هـ  أننا في الحج . هل تعلم فائدة الكلمات التالية,"تج مت ب ىش » ميغ عر (تنا الي ‎٠‏ ا تو عازرة الكانك لوال
",ال0ك |ل~ا توا )ننا فى 7 ل ع @ ( ث7  ب« هل عا سد6
113,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2377x1361 at 0x7D6DD2009F10>,في الحج،  هل تعلم فائدة الكلمات التالية لهذا النص: مشمش، دراق، غيظ، ناء ،  بث ، نسر  .,"ع الحج ‎١‏ صل تعاما عا .2 الكلمات التآلية لبذ لض :مسر إرراة - فيظهناء ابنء تير ..
",_ احل تعلعما فا نئى الحلئا $ ارراق - عيط ناء ا بت الجح التاً ليً لسد  الص مسمس  نس
114,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2205x178 at 0x7D6DD200A490>,وهلال خازن عفيف للحج .  بدأت قوافل الحجيج حاج إثر آخر يلبي,"ططلان انث . ةا عدت ا 5
. خاراك عشيي للتع . ندا نت كو ‎١‏ وا الادتيعو

ماج !ؤ ‎27١‏ يجو
",قوا فل نبد ا ست عس فيف و هلدل الدتيج حاج !3 آخر يلبى  حا دن تج
115,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2058x108 at 0x7D6DD200A9D0>,وسعينا مع شيخ. كان جاري في الخيمة يتكلم وهو نائم  بكلمات لا أفهمها مثل,"وسهينا مع بعر . حابذ سوارى فق العنمة يتكلم ودو ادم يتلمات ل الفرهصها صثل
",1 فرمصها حارء فق العنمة يتلم رخوبالم بتلمات ١ _سعنا مع مثل سابذ
116,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1893x153 at 0x7D6DD200AF50>,الحج  هل تعلم فائده الكلمات التاليه لهذا النص: مشمش، دراق، غيظ ،,"عبط 6
000-05 7 6 دراعم» -
كم زائره العفان المالمه زوز | ١الشهبي ‎٠‏ مسعصس
السعرع , يل دعم فاده
",م حط الدج . ملا تعاء فالده ا دجاحات المالية لهذا الص : مسمس 6( دراما
117,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1031x348 at 0x7D6DD200B4D0>, غيظ ، ناء ،  بث ، نسر,,"ناء ( بث , { عاط"
118,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1974x122 at 0x7D6DD200BA50>,والمهتمون بالبيئة. إذا يرى فريق من العلماء أن غازات الإحتباس,"ى ‎١‏ 2 سلا 1 3 ١ه‏ .و و١5‏
عور بالمبك>. اذ اشرب عرربو من العاعاء آنا غارا تالا ماس
",آنا غاراتالإ عىتاس < اد ار ماق منح امهحون بالسه العلءا
119,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2412x109 at 0x7D6DD200BFD0>,مؤثرة عند بداية الثورة الصناعية. إن تضاعف عدد سكان الكرة الأرضية,,الا ? ه سحا ~ را ~ دصاحم الماجه ~ ا- حه مسو ثرة لو رء عرد
120,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2174x249 at 0x7D6DD2014550>,قضية تشغل حيزا كبيرا من اهتمامات الراي العام . وكان مؤتمر ستوكهولم للبيئة,"ن١‏ ئى لءأ 3 7 لأن' و 2 34 لحر الميعه
‎١ ١ | ١ 2 *‏ .
قهن تَشْعل ميا لسرا 9 اميا م| | ص 7 ‎١١‏
",مر 1هم مصر تشغل جنا لسرا الرء العا ح  ولان للمرد- ما٧ مؤتمر ننوكهولم
121,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2403x274 at 0x7D6DD2014AD0>,ذهب  نوح مظفر ضرغام  بصحبة رؤوف بن لؤي  . بدأت قوافل,"""5 مم
‎٠‏ لم تلعااب صرامق
57 نعمام ؤم بها من لان -
ملسز برخم رع
صب مو 0

353
",اىرار لصد / داد@ صرعام لو ح حو داصب طجس س لو ل ا دلا
122,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=866x393 at 0x7D6DD2015010>,متعاقبه من البشر.,,عقا مبه صل^
123,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2205x123 at 0x7D6DD2015590>,للحج .  بدات قوافل الحجيج حاج إثر آخر يلبي . عند وصولنا طفنا وسعينا مع شيخ #ان,"للحح . ات عوافل الحبرج صا وا ث آخريلبى١‏ يد وصبو لن١‏ لون وسسعبنا م سي هار
",طفا وسفاع سيح هال عذ 9 عاج ! ثرآطر بلى '  لان فومل صلولاا للحج الحدج
124,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1507x286 at 0x7D6DD2015B10>,ومن الاهتمام والعناية بالأشجار من جعة أخرى  .,"وهم الر صمام ر لعناية نالا مكار عثر حيه> | خرى
","عد مبهت , حرى الا ر لر عام وصر تبار الع'اة"
125,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2059x93 at 0x7D6DD2016090>, ب س ش، ص غ هـ أننا في الحج . هل تعلم فائدة الكلمات الكلمات التالية,"نف نس هل/ صعاع و ألما ع انج . هل تعلم طاكرةَ ١اهفات‏ ١الكمات‏ التاليع
",الامان التالح ا4ات ماتعلم  ائة عس »٤ » انا ئس سل /  الجج
126,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2187x116 at 0x7D6DD2016610>,مثل انقض بغـلس له الضابط لزمتك . سألت راجح هل بلغ أصحابنا ظ ع ك ،,"صل انعَهن بخله له الضابط فرسّك , سسأ فت راحم هل بلؤ أصضابًا ظاع لع 6
",الضابط لزصك سألتراجع هكبلح ٢صاببا ظع ك له انحطت لخلى محل
127,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2145x201 at 0x7D6DD2016B50>,بيئتنا و ماضينا لكي نساهم في مستقبل و حضارة هذه الأمة حتى تكون مشاركتنا,"تكو م[ ركما
متنا وسا ينا حي شاه م قبع وصطلارة صاء الآرة م تكر
",دما ?را د لسنا د449 ده 2 ٠اام9 ( تكوه م ا ركسا سي سام ا ستقدا
128,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2201x357 at 0x7D6DD20170D0>,المحكوم ، أساسا ، بمسألة السكن والمشاكل المترتبة عنها ، يقدم  دليلا قاطعاً,"ا مهاج أساماء عالْة سكن وال مما فل المتريية عنهها » يترم دلبلا تاطعة
","والثاط المرسبةً عهاء يقرم دليلا المجادً  أساساء بالً سان تاطعا """
129,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2228x93 at 0x7D6DD20176D0>,ذهب نوح مظفر ضرغام بصحبة رؤوف بن لؤي رايق ظافر عطعوط وهلال خازن عفيف,"ذهب ناح تلض جربا *1 نميه ررق سم لاي رالهم خلا عر عخعرط م صول حا زررعمين
",جعبة ردمف سبدلؤي راسه طا رعحعوط وصلال حا ر س~عمم ذهب نوع مثر مرنام
130,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2247x127 at 0x7D6DD2017BD0>,عفيف للحج . بدأت قوافل الحجيج حاج إثر آخر يلبي . عند وصولنا طفنا,"عمبى للح . براحت فوافل الحجيح حا ام أخر لبي . عدا وصولءاطؤزنا
","طفرا عند وصول ا , حاج ا نز ا> برآت موافل ع فببف ىبب الحدبج للحج"
131,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2045x99 at 0x7D6DD2020150>,لأنحاء العالم ،والاختلاف بين المصنفين والمربين في استخدام الصفات . وهنا اشدد,,اسدد لذحاءالعالم  والاحتلدفيالمصنفب والمربين فالحتىدام الهمفات 9 همدا
132,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2118x119 at 0x7D6DD2020690>,فوق هذا للحيل في النهارفي موسم الشتاء تعدت الصفر المئوي,"كوق صه١‏ دفيل 4 لمعا ر أ جع سير المعتاء عدت |رصم المسويا
",الصف امسود ذفدت ك الما موسع 3 اللثها رمي للفل م< | قر ق
133,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2140x503 at 0x7D6DD2020C10>,يليها في الترتيب المعرفة بطرق الامتخدام الآمن للمبيدات,"‎١‏ سس | 6 عر 8 1 ااام 1 اند
بليها ص الس ممب لمعرفة رؤرق الا ستحد م الزمر اللنعدا ن
",اسبيرات نحد  الامر الا المعرى  رهرد سرا ىلسها الحر
134,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2259x117 at 0x7D6DD2021190>,انتاج كميات من الغذاء والأدوات التي تزيد عن الحاجة،عندها دخل في مجال التجارة,"اشاح كبيات بن لعرار و الادوات الى ير عن لعاي-) عنركها د حل ش عن لنها رد
_ 4 نر بم مين محا د
",عندها دحل نن محال لددا من سحا الي نرد و الادد لعر  5 لت 2 ا7 سا اء جه ( :)/
