,image,ground_truth,tesseract,easyocr
135,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2050x101 at 0x7D6DD2021710>,له الضابط لزمتك.  ظ ع ك ، ث خ ض، ب س ش، ص غ ه اننا في الحج  النص,"لهالطقط لؤمئلع .ع ذع »دح من » ب سان ص عه امئاق الحمي النص
","| | اننا م ل  ثح ض , ب س س , صغ لهالضابط لدمنك . ظع لنص إلحم"
136,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2056x131 at 0x7D6DD2021C90>,مع الغلاف الجوي (71% من الغلاف الجوي يقع فوق هذه المسطحات,"عع الطلئف وض ١م‏ صم زو لذت رلا دمو قوم املك لسعو رم
",2? فس لولافت كراا صد الطااف جو )71( نود ع
137,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2112x138 at 0x7D6DD20221D0>,وجوده وإحساسه ببيئته فتفنن بها ،وكثر عطائها وتجاوبها مع إحساسه,"حت م احسامست إببرشاك ننقق .ها م كيو عط وار ظام بها مع لحساسه
","احساسه ا ,كزحطا و دجاد بها ببرلتء دت رحا > دود٥ سع |22` نه"
138,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2248x88 at 0x7D6DD2022710>,كثافة الهواء بها قليلة و تنخفض بها درجة الحرارة حتى,"كمتاحنة الحو ليل محا كام اله كن خؤءحن دها دو حك الدي لي © ليجل
",كتافةالمواء بهاقيلةونخفص بىادرىه الحااة حمى
139,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2356x1146 at 0x7D6DD2022C90>, هل تعلم فائدة الكلمات التالية لهذا النص: مشمش، دراق، غيظ، ناء ،  بث ، نسر,"هل حل تاشر ١لكفان‏ التالمات لها لالت مسشم ينح و راق , عط 6د ؛ بن شر
",مل بحل غاثره الكلات ال5الد7 لهذا ال~٥د : د3 ، ٥ ،٠ا، ل٥ ح محمد ، سر
140,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1249x516 at 0x7D6DD2023210>,ويمكن أن ننشأ الطاقه الميكانيكيه .,"ته هر
> حلت أن تلح"" الها قداليىا عه ‎٠‏
",ان نت  الطافه الحانه لعل
141,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2210x105 at 0x7D6DD2023790>,التعليم الثانوي # الإلزامي ، بالإضافة إلى اجتياز القبول ، أما التدريب المهني,"النعليم الحا

‎١6 ١ '‏ 3
: :أمى دأ - 8
رحد 3 -
",اللدربب امهنر ، اما بالاضانة الى اجتيا ` القبول  الدلزامي  الثابو -٣ العليم
142,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2000x149 at 0x7D6DD2023D10>,ظ ع ك ، ث خ ض ، ب س ش ، ص غ هـ أننا في الحج .,,اناءء |ك حنع ه [ ( ب سن سش ض ك ، ٥ح
143,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=793x609 at 0x7D6DD202C2D0>,ناء ،  بث ، نسر .,"برك »© سير ‎٠.‏
‏ماء م ل
",( ناء ، نسر بث
144,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2381x155 at 0x7D6DD202C850>,في بعض الاماكن حيث تحفر جوانب التلال للوصول إلى قلب مناجم الملح المتحجرة، اوقد يفتت باستعمال,"ف نهى مانت حت تعمجو انب (لتال للومول إلى فلب منا بع املع (لمتقترة اوقد بت باسقدال
",فوهف ط مالن جث تحفجوانب التال للوعول إلى قلب منابه الملح المتعدق ا وقديفت باسقدال
145,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2433x104 at 0x7D6DD202CD90>,خلال اجتماع للجنة المركزية للحزب الشيوعي الصيني في بكين يوم 24 يناير 2009، بحث,"ولاق اجمّاك اللجنه- ل5:يد للخراب لثمو المي ي بكين يوم >؟ك سر 1..كمابحن
",علال اعتهاع للجمد- اركدبة للحرل الشوي الصينر ع بكين يوم ٢٤ يناير ٢٠٠٩ ا بح 
146,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2012x102 at 0x7D6DD202D2D0>,ذهب نوح مظفر ضرغام بصحبة رؤوف بن لؤي رايق ظافر عطعوط وهلال خازن,"ذهمس نب فلم يم ‎٠‏
‏د م مايه 0
: ودكوث س لؤتا را 1
مطهر سرعرو ى) لؤتا) راسى يام
و حا و طوحوط ه
مصلدل حجان
",ذهب نوآ مظفر ظرزام جحبه ددون لؤى داسو ظافدطحوط وهلال حازن
147,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2041x146 at 0x7D6DD202D850>,عفيف للحج .  بدأت قوافل الحجيج حاج إثر آخر يلبي . عند وصولنا ظفنا,"عضيق للح[ . دان تواعل الحجيج جاح ابر أخر رلبى . عذ وحببو لناظصا
",عد وصولنا طصا رلبى حاج الل دران قواخل عضف ا? آحر اامعبج
148,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2151x105 at 0x7D6DD202DDD0>,يتكلم وهو نائم  بكلمات لا أفهمها مثل انقض بغـسل له الضابط لزمتك. سألت راجح هل بلغ أصحابنا,"يتكلم وصو نائم بكلمات لدأ فهمصا مل انقض بغس لله الضايط لز متلٌ.سألتراجع صل دلعٌ ؟ صحابنا
",يتكلم وهونائم بكلمات ادا نممما متلانغض بعسللهلخابط لزمت . سألت راجع هل بلغ ٤ صحابنا
149,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2459x160 at 0x7D6DD202E310>,فعشتاروت بالنسبة للفينيقيين هي موطنهم الأصلي، ومعبودتهم هي رمز الحياة والجمال، وقد كانت أرضهم كأجمل ما تكون,"فمتشاروت رالسة الإ نيقبير: 00 5
ر روت را تسب افيد تيعيساهي الاسى زالمرا- :
يي سي ومعبورهم صمي عرز الامو لال ادقركات أ ضرعأ م لماعر
","طهم حا ممل ماتكون 5 للبمال ا دقرعات رهر باللسبة للفسويسدي معطنهم الأسلي < ومبددتكم صي , عمتتعا روت  الحياة و"
150,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2360x119 at 0x7D6DD202E850>,ثانيا- المستوى المهاري لزراع محافظه الخرج المبحوثين بالزراعه المستدامة : يتضح من الجىول,"ثانا - امستو ى امضهارى دزرام مدا فاه اللحرج امبحو تن باثز راعم اميه امم يتح وبر اهبر ل
",_ام : _ثب بالرراعم محا فله ثاند - هف الصرل الحرح الحبحز المسترى المها رى استه لزراع يتضح
151,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1017x455 at 0x7D6DD202EDD0>,في مجال الزراعه المستدامه متوسطا,"ص مجال ارام اعم امه متو ميذا
",متو مطا حي مجال الذراء المت امة
152,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2222x143 at 0x7D6DD202F310>,  بكلمات لا أفهمها  بغـلس له الضابط لزمتك. سألت راجح هل وصل أصحابنا ظ ع ك ،,"ديات لد ‎١‏ ذعها يحل لى لايد لرمتلك. ساللت ب عع عووصل محت الا ع لد
",سا لت فهما بعلمس ل~ لصناءط لرمتك كلمات ا محانا >عل  هل وصل اعح
153,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2051x144 at 0x7D6DD202F890>,عميقة  ومقابلة ما ورد فيها من قراءات للنصوص مع قراءات العلماء المحدثين,"عهيعه. و مقابله ما ' 0 5 مو
ورد قها هن كراءرات للد لمات ‎١‏
",لى فراءات الحلماا 9ها صن قراءات للدموص مع كميقه . و ممالآ المحد ما ورد
154,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2321x178 at 0x7D6DD202FE10>,شيخ. كان جاري في الخيمة يتكلم وهو نائم  بكلمات لا أفهمها مثل انقض بغـلس,"التسخ ‎٠‏ كانجاري فى إحيمة تكلم وهونام تكلا تل رأ ذهيها شل انتقرنقلى
",خي لحبمة يتلم ودعونام ت٢لهات لاافهمها فثا |لوص ! ترح كانجار لغلس
155,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1555x310 at 0x7D6DD20343D0>,موقع لاخر ومن وقت لاخر في المكان الواحد.,"2
عومج لا
مخر رمك ليث ل ‎١‏
‏/
‏ل إلوا حت ,
",وأوث لا حرءر المعال الواحد موعع لاحر وما
156,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2411x501 at 0x7D6DD2034910>,في النجاة؛ فع جبت من ذلك كل العجب.,"5< > يي بجعبما مت وحم لحيل كمال .
",ذاث <١٧ يمع جبسا من  لف - {  نمحب
157,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2431x152 at 0x7D6DD2034E90>,و لهذه الإبل رقاب كرقاب صغارالنعام ، و هي تقتحم البر ، و تأتيها بالفرج و تدراي,"ر لزنا يدر
","رر ا بالو & و@ لهئم البرا , اكا 0ر0 _ 0 ر نا  ثردا الب رنا ) النفا م /"
158,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2427x116 at 0x7D6DD20353D0>,"وفي أرض، اليمن عدد كبير من الحِرار، ذكر السياح بعضها، مثل حرة ""أرحب""، وتقع","و35 المت عا البحين عرد كين هن ااحزار م زكر السام تمصع © حمل حرج '! ارس '' ) وضع
",،' ٦رح ر| لمصعا - متل ح5 الحرارءا ذكرالسياح هن و3 ` رص مااللصن لرد كىىل ومع
159,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2017x195 at 0x7D6DD2035990>,مع الشيخ. كان جاري في الخيمة يتكلم وهو نائم  بكلمات,"أليم 5
‎٠ 2-- 6‏ كان حا ك5) ‎١‏
‏0 :
بأرىك> فى الخسهم د لهو تت
: - 9 نادم
",آلمات ئ الخبسآ بتكام وهو حار  س-ح كان نا رم
160,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2269x1167 at 0x7D6DD2035E90>,فاتدة الكلمات التالية لهذا النص: مشمش، دراق، نميظ، ناء ،  بث ، نسر .,"2-7 لات بالك ضما النص) حمح ) درق عزرظ » ناه » »ا دشر
",ا داق مث ع ناءاسا مشمس و` ره ) لمات لال< هدا النص ر
161,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2204x91 at 0x7D6DD2036410>,مثل انقض # بغـلس له الضابط لزمتك . سألت راجح هل بلغ أصحابنا ظ ع ك ، ث خ ض ، ب س ش ، ص غ هـ,"عل نكن بطع خلس ل الضاط لزعلا الت راطج طمل بلغ ‎١‏ وما ب اخ ع لك )ان جل ص © ب سى شل > ص بز حير
", ب س خ ، صغ - آلت اهح لحل بلعاهطابا ظعلك ،ث خصا مثل انكى ببطه بغلسي له الضاط )ز معلدا
162,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1939x125 at 0x7D6DD2036990>,جانيه أشجار الكافور التي تغطيه كله تقريبا، يذكرك بشوارع مدينة نانجينغ,"جما لبى اسار الكا مرا ل تعظي كلس تمر ريك ي نولل ديشوارع من بت | تتسيع
", دقريباء بنكرلا دشواع مديت نا لجبنع ` شبار عا لبب الكامور ا لن كل لغصص
163,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2004x177 at 0x7D6DD2036F10>,من الوفاة وشدة الوجد على الأولياء وهو من أعظم ما تقرب به العابدون,"دمن لوخاأة مسد 2 لوجد عل لآء ليا, ‎٠‏ وحور عن أعطم صاصرب يه لعا يدون
",دن لوخاة  سدة لاجدعل حن 2 ما مع لأءلباد أعظم عدعه لعا بدءن
164,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2027x135 at 0x7D6DD2037490>, راجح هل بلغ أصحابنا ظ ع ك ، ث خ ض، ب س ش، ص غ ه أننا في الحج.  هل تعلم فائدة,"/

/ أ 0

جع عل بلع عابنا ظع [ن ع ترز م 3
سم ص مات 2 ا ‎٠‏ 5 ,

20014 عه ١سا‏ ف ابر . مل صلى عاد
",/ ملتد ناسد ٢ ط٠٥٤ ثط ص با٧ثر، شا٥٤ ابنا مل بلع 1 صحا بحا ح2 الحج
165,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1822x129 at 0x7D6DD2037A10>,في الحج هل تعلم فائدة الكلمات التالية لهذا النص: مشمش,"تي الحج عل تعلم فائرة الكامات الحالية زيزارن. رمام
",تعلم فانرة الكلمات الساليه لهرا الحح م صشمس م الثص
166,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2341x203 at 0x7D6DD2037F90>,"و أما جزيرة ""تاروت"" الصغيرة التي في هذا الخليج فالظاهر إنها جزيرة في جغرافية","وآما حزبرة” نارون “' الصشرة ا ىن ال كاف ان سي 200
'ى ي هذا مالحرما للاهظر إهفاحزيره ق حدر امنة
",الفاحزلرة ف حذر ا9ة الصخيرة الآ يهذا الليجعا |( وآما حزيره ٠ كارول لظاهر
167,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2357x152 at 0x7D6DD203C550>,يلعب الأوزون دوراً كبيراً في وقاية كوكب الأرض من تأثيرات الأشعة فوق,"يلعن بز و رون ور ‎١‏
‏و ش ْ

مأ ى ج) رب

0 وقعارلة لوكب بزرحن

0 ٠ ٠. 7 1 ١

1 مراع :: 2-1 .
","موف تأ شرات , تعة ^   7 ا  وعارت كوكب كمل يلع ` وزون د ورا"
168,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2418x148 at 0x7D6DD203CA90>,ذهب نوح مظفر ضرغام بصحبة رؤوف بن لؤي رايق ظافر عطعوط وهلال خازن,"ا لضا امه ‎٠‏
‏غمه» لوج ئا حر حى ‏ ء ‎٠‏ 0 32 : :
مظع ر صرعا | وجرن تبر عه ررقف بن لذي مانفا ذلا مر حسطرموط وصلال خارزت
",وحلال خارت ات طا هي يحدوط رع ح ?  دود بن دلاء لود مظف صرغا م[ لوي
169,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2154x147 at 0x7D6DD203D010>, له الضابط لزمتك. سالت راجح هل بلغ أصحابنا ظ ع ك,"لت الخايم لزعكلث . هسائحه رإحيع حير بلغ امعادنات عر

0
",نالت اححع دربل الناع لزبتك اجاناطع ك
170,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2291x141 at 0x7D6DD203D550>,س ش، ص غ هـ أننا في الحج. هل تعلم فائدة الكلمات التالية لهذا النص: مشمش,"ناض وى ما أو الي الحم عل تعر نوج اولك الثالة دمذا لمعن ؛ مشمشو
",مل تعلج فاندة الللما الثاليةً لمذاالتحن ! مشمشر - انسنا لحح لر للا ( صاع م
171,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2052x96 at 0x7D6DD203DA90>,يسير الجمل متبخراً فخوراً بنفسه معتزاً،بطراً لا يقضم منها إلا ما يعتقد أنه طعام لذيذ له ،يقضم من موضع ثم,"دسي الممل مستحوا مسوراً
عمبحمما عورا ببطسه يم نهنا ممعم خا 1/1 تع ‎١‏
",_لاا يمم م' موضع ع بمس معم ا بلا لا يقط عما 1ل1 مايعمقد آئه بس الجمل متبحا محوراً طعام لديد
172,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2128x208 at 0x7D6DD203E010>,ندرة المعلومات ولا من حيث وضعها في سياق تاريخي منطقي، وذلك فيما,"لدرة المسفو ىن مم ره ورصيعا ل سات ذا ركنن معطو وذ لرن صر
",1 لررآ  اق ا وررص صث 0  رذلام ص| لمموما وصعها ركس منطف
173,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2082x106 at 0x7D6DD203E590>,طفنا وسعينا مع شيخ. كان جاري في الخيمة يتكلم وهو نائم  بكلمات لا أفهمها,,وهونالع بكلهات ط اذهمها مع سع  كان جاري ف الغبمة 9 طفنا سفينا يدكلم
174,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1842x586 at 0x7D6DD203EAD0>,نسبياً بعد اكتشاف النحاس والبرونز حيث أن عملية صهرهما .,"دحو ‎١‏ كتنثا م لنحاأ
2

|

و ‎١‏ لمرورر حب

لْ

عمل
",والردر حيت { كتسان لنحاس ددر لنسبد  دمس هما ن ععلد
175,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2456x95 at 0x7D6DD203F050>,ذهب نوح مظفر ضرغام بصحبه رؤوف بن لؤي رايق ظافر عطعوط وهلال خازن عفيف للحج.  بدأت قوافل,". 5 وه ا ‎٠‏ مئ ل 3 ألم 7 ام رح ألما
دمن نو ج موم” معام رصيو , رؤوف سن لوؤي ران 14م عشي ظ' و لا ل شار ن عضيف اانا
",بما ت فوامل ذمب نوح محم ضدعام بصجه رؤوف س لؤك رايق طاصسلوا وحلال خارل حخفا لدح
176,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1956x145 at 0x7D6DD203F590>,بقايا أنهار جفت، وتسيل في بعضها المياه عند سقوط الأمطار، ومنها,"دقايا أهار عفنت ؛ 3 تفيل كي بحههها اللياه عنر سقوط الثمطار؛ دري
",9ي نعصها 9 م دفت رقايا عذد سقوط الأمطار 4مذها آلهار تسيل اليان
177,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1948x202 at 0x7D6DD203FAD0>,ث خ ض  ب س ش  ص غ هـ  اننا في الحج  هل تعلم  فائدة الكلمات,"رذ راض بع باب تس ع رم ه اناق ١لا‏

2 صل ممم مالرة مما
",اننانى الحع حمم نح ص بم اس^ات ط لسعم حالدهً
178,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2299x151 at 0x7D6DD12CC090>,ذهب نوح مظفر ضرغام بصحبه رؤوف بق لؤي دايق ظافر عطعوط وهلال خازن,"ذمى د
وح 1

200
عركا
1

ورف 1
بق لي
ىل رام ‎1١‏
‏ضام
‏عمرعوط
‏ور نفلا
نى هار
",",هلال لو _ راح ظاز ل روون لوح سعف زهر زعام عصعوط لعره فازن"
179,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1982x116 at 0x7D6DD12CC610>,وسعينا مع # شيخ. # كان جاري في # الخيمة يتكلم وهو نائم  بكلمات,"سعنا مع تزع شخئ. يع كان هاري ض ضع انبمة بتكل وص نام بكفات
",بكما ت وهر نا - تحا ماري غ طء الحبة شع & ان مع دت )خ2
180,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1816x139 at 0x7D6DD12CCB90>,وتتحول بدلك من الحالة السائلة على شكل بخار ماء.,"د ند
تنتحو ذا بد
لك ناح الا سا
لي
حلم ف
يخال ما ,
",دتتحول بدلك من الهالةالسائلة عل سكابحارماء .
181,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2272x524 at 0x7D6DD12CD110>,تعلم فائدة الكلمات التالية لهذا النص: مشمس، دراق، غيظ ، ناء ،  بث ، نسر.,"نطم خاتدة الكالة التالية لهذ ا اللنص ‎١‏ مستمس.ء دراي , غيظ ع نكت 6 بنك ) نسر_
",نا_ ٠ بت ( نسل ا مستمس  دراق  غظ نطءفانده المامات التالية لهذ النص
182,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2453x142 at 0x7D6DD12CD690>,و يثير فيها عواطف الشجن المنبعثة من قسوة الحياة وشعها# و فقر الأرض، فتأخذ,"و دس رميسأ عواطف الععن اللبعمهة فل وو الحياة وشعراي وعمر ابن

0 1
يعن » منَا جر
",عواطف السشعن البعته م' قسوه الحياة دشداء وفقس اللا رصى ء متا خر و بسر _ حيها
183,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2269x141 at 0x7D6DD12CDBD0>,المحدثين في إدراك أهمية الدراسات الآثار.,"الفحد تين إدداك اهية الدراسان (لوثار -
",الدراسان الآتار ي ادراك  المحد اعه
184,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2027x96 at 0x7D6DD12CE110>,المسببة لظاهرة الإحتباس الحراري في الغلاف الجوي والتغير المناخي في إرتفاع درجة,"المسبة (ظاهرة الاإصتاس (راري يل (نقلاق اكوى و التكثر اللناضي حي إريقا) د رطه
",ارسا( درحه - اجول داللحر امناغي حي الاصبا الكراري ~ الفلاح مسبة لظاعة
185,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1978x128 at 0x7D6DD12CE650>,يتكلم وهو نائم  بكلمات لا أفهمها مثل انقض بغـلس له الضابط لزمتك. سألت راجح هل بلغ,"ينكلم وصو ناعم بكلمات لأ فعمصا نكل | نقض بفلس له الضا بط لزمتاك . سألتراجعصل بلغ
", بنلس له الفا بط لزمتك . سألت راجعهل بلغ نائم بكلمات لدأ فممما معل | يتنكلم ومو نقض
186,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1722x508 at 0x7D6DD12CEB90>,في هذا العمر المتعدم وني هذا النظام من الزراعة . المواد وطرق البحث :,"مد هذ العو | متعم وى هز | النظاح من الشرراحة . اللوار وطرق العث:
",المواد وطرق النظام من الزاحء لمستمر وني هز مرهز العث العمم
187,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2443x138 at 0x7D6DD12CF0D0>,مثل طريقة السرد، الخيال و المبالغة ، لا منطقية الأحداث . باختصار شديد,": 24> 1 2 سم زر 7 عه ا بنيعا ر لاعس ماس
ْ ( جم لسير ب >6 ذال ء الا لمة » لد عمعطعسه مد هساح ‎١‏ ا هعتسار م
",ا متسار ج~ سذ مدات لصال دالالة  ا محئ ح حتل مرتآ لمرد
188,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2352x128 at 0x7D6DD12CF610>,وكان الحصاد يتم بالأيدي والمناجل و فتخرج القرية أو العشيرة عن بكرة أبيها في الصباح,"وكام

امصاديص اا به قل د لعل عر متشريم المغترضيح أو المسشيرج عم بكرج برا ش20
",الترر= أرالء  5 حمم بكسء 11 -2 رالنا عل الآير ~ ا لحصاد زكا متحع
189,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2144x162 at 0x7D6DD12CFBD0>,يتكلم وهو نائم بكلمات لا أفهمها مثل انقض بفلس له الضابط لزمتك. سألت راجح هل بلغ,"يتكلم وو نانم بكلات ل أفونا مئل إنقض بفلس (ه إنايط لزيتلك . دألت راحم عل بل
",هل بلغ له افابط نذهتك يتام وهوناتم بباهت ٧ أفهمها مئال سالت بنلس  انقض رجح
190,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2041x138 at 0x7D6DD12DC0D0>, سألت راجح هل بلغ أصحابنا ظ ع ك ، ث خ ض، ب,"ما لمحت راجم جمد هد “جع بن١‏ ط 3ن دثج حل / ب
",حف / با بناظ_» ث7 غ راجع مل سا لت اصع 
191,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2384x1153 at 0x7D6DD12DC610>,مشمش، دراق، غيظ، ناء ،  بث ، نسر,,تا ء سر ع2 ، ناء دراف ( ممم
192,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1975x158 at 0x7D6DD12DCBD0>,قال والله فعلت. فقال الكندي : ما بعد الله شيء ! قال عمر : فكتفه,"مخال و الله معلت. عمال ١لكندى‏ : ءا
ل و شعلرتث معال لشدي : مابهد الله تفي »! قال كمر) زور .
",مابحد الله منيء ! قًال عقال مال والله نعلث اللدي كمر ' ضلما
193,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2486x174 at 0x7D6DD12DD190>,وهذا # ما فعلته حقا . حيث حققت السيدة دولينج مبيعات بلغت الآن 400 مليون نسخة,"لسر
ع اء : : . برام إلى ""' ‎١‏ ا
‎١ 2 9‏ مطعها ماغعلت حنًا. حسك حمفت السدة رد لبج منيران لات لان كل مان مسجم
",450 - ددلج مسان  لتث حيث حعًف السيدة و0` امطمعا ماغدلً حفًا ملول س لال
194,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2146x153 at 0x7D6DD12DD750>,وسعينا مع شيخ . كان جاري في الخيمه وهو نائم  بكلمات لا أفهمها مثل انقض,", بم ‎١‏ /
و سصما <. كا ىّ : : /
اخ سين مارى م سمه وطونام بكفا تلا أنممها مل ا تْمَص
",سشيخ . اثجاري ب? اجلمه وهواطم لكاماتلا افصمحا صل ا لمص  سميبا ح
195,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2122x177 at 0x7D6DD12DDD10>,وفقا للأرقام المعلنه للأرقام المعلنه في نهايه عام 2008 ،ألفت,"مضا لل امع العام للد جاع اطعلنومى ضماعه عام تمتك؟ ع ازيزى
",663? 6 الخر اخولنصى نانه المعلً لل عًام ومسعاً لر رعام ىاعم
196,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2111x216 at 0x7D6DD12DE2D0>, هو الأوطأ بالعالم (حوالي 400 متر تحت صلح الجر)،وهو أيضا أكبر,"«صواف ..
ع الت وط) بالحاثم

ما
صرر_
",) حوا موالدوطا بالعالم آت برتا `٦٠ عه سس اكبس  وهو
197,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1970x98 at 0x7D6DD12DE850>,أخرى.    3. # تطوير القدرة على المشاركة في الحياة الاجتماعية والثقافية والسياسية,"أحمى. # ص تطوير القدرة عل للتناركة ثم العياج الاصسمائية والنتا طية و اامبايب
",السلاسة 9 ٢ صم تعوبرالمدرة عا السارة  الحاة الاجتما عية والتقا حيم ٧٦ ٠
198,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1962x123 at 0x7D6DD12DEE10>, السابقين عن الإدارة العامة إلا إنه لم يعد # هنالك شك  في,"السابقين عن الإدائة العامة الا إندام بعد كه هتالك شلى و
",شل ء هتا ءلا الإدا5 العامة لسابقين عن ف إنه لم _ بعر لك
199,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2059x114 at 0x7D6DD12DF390>,جليدي زحفت خلالها الثلوج إلى وسط وجنوب أوربا وانخفضت خلالها,"1 ""ينح طخلا ليىا
‎١‏ : | برستت 83
ح لالجا الكلوي روفوسعغ وصوب اورباو
",ملىدى زصطت ملالها الثلوع رىءسط وصوب اوربا واحمحنت خلالها
