,text,prediction
0,"وَإِذا ما سَأَلَتْنِي عَن مَعْنَى لَفَظَهُ ""عرب"" عِنْدَ",_
1,أَمّا فَهُم النُصُوصِ وَاِسْتِنْباط مَعانِيها بِوَجْهٍ صَحِيحٌ دقيق،,_
2,تُثِير فِيها الاسود، وَهُوَ ما يَتَعارَض مَعَ اِكْتِشافِ,_
3,الجماعي، وَكادَت تَصِل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّة لِسَيْطَرَةِ أَكْبَرَ,_
4,مَعَهُ مَنْدِيلا فِيهِ جردقتان وَقَطَعَ لَحْم سَكْباج مُبَرَّد,_
5,إِلَى المَدارِسِ العامه، وَلَم يَكُن فِي كَثِيرٍ مِن,_
6,المُسَبِّبِ لِظاهِرَةِ الاِحْتِباس الحَرارِيِّ وَلَها القُدْرَةِ عَلَى اِمْتِصاص,_
7,القُرْصِ وَتَكُون حِضْنه الشَغّالات فِي الوَسَطِ يَلِيها,_
8,"مِن الناحِيَةِ ""الجيولوجيه"" فَإِنَّ باطِنِ الهِلال وَحْدَهُ لا",_
9,وَيُمْكِن تَحْدِيدِ مَجْمُوعُهُ مِن العَوامِلُ المُفَسِّرَة لِهٰذا الأَداءِ,_
10,تأثرت بلغة بني إرم، فكتبت بها، كما فعل,_
11,تَكُون فارسيه، لِأَنَّ الفُرْسُ مجوس، وَالمَجُوس لا يَعْتَقِدُونَ,_
12,العربيه،,_
13,المِيلادِيِّ بِمُقْتَضَى قَوانِينِ القَوْط الغَرْبِيِّينَ عَلَى حَقِّهِم فِي,_
14,تَتَحَمَّل المَسْؤُولِيَّةِ المُتَعَلِّقَةِ بِخُطَّة التحريري. وَفَضَّلا عَن ذٰلِكَ,_
15,استعمل القدماء حجاره البراكين في البناء، ولا يزال,_
16,"أَو ثلثه؛ حَسَبَ خُصُوبَة الموسم, وَفِي نِهايَةِ الحِصاد",_
17,"بِالرُجُوعِ إِلَى مُؤَلِّفات ""الهمداني"" وَغَيْرِهِ مِن عُلَماءِ اليَمَنِ",_
18,الأَعْضاءِ فِي اِتِّحادِ المَغْرِبِ العَرَبِيِّ يرنامجا دُونِ اقليمي.,_
19,هائِلٌ تَحَدَّثَ فِيهِ تَفاعُلاتٌ نَوَوِيّه تَصِل دَرَجَةِ الحَرارَةِ,_
20,ذَهَبَ نُوح مُظَفَّر ضِرْغام بِصُحْبَةِ رَؤُوف بِن لؤي رايق ظافِر,_
21,الَّتِي تُسَكِّنها القَبائِلِ المتبديه، وَتَقَع فِي شَمالها وَفِي,_
22,بِلُبّ شاعِرِ الصِينِ الكَبِيرِ لِيَ بِأَيّ فِي زَمَنٍ,_
23,أَنَّنا فِي الحج. هَل تَعْلَم فائِدَةٍ الكَلِماتُ التالِيَة لِهٰذا النَصِّ,_
24,أَساسِيَّةٍ ،وتدربهم عَلَى تَوَلِّي,_
25,مَعَ البِيئَةِ اليابانِيَّةِ وَخُصُوصِيَّتها الثقافيه. كَما تَضَمَّنَ مَشْرُوعِ,_
26,عَمَلٍ مُؤَرَّخ الجاهليه، يَنْطَبِق أَيْضاً عَلَى أَهَمِّيَّةً شَعَرَ,_
27,وَقَد ذَهَبَ بِعَضُّهُم إِلَى إِن العَرَبِيَّةِ الشَرْقِيَّةِ كانَت,_
28,الأَساسِيُّ لِلطاقَةِ وَمِنها تَسْتَمِدّ الأَرْضِ الحَرارَةِ الَّتِي تَحْتاجها,_
29,مَعْهَدِ كونفوشيوس فِي جامِعَةِ قَناةِ السويس، أَقامَهُ مُنْتَدَى,_
30,سِتَّ وَعِشْرِينَ دَرَجَةِ غَرْباً وَاِثْنَتانِ وَثَلاثِينَ,_
31,فِي الفُرَصِ وَيَحِقّ لِلطُلّابِ ذَوِي المُتَطَلَّباتِ التَعْلِيمِيَّةِ الخاصَّةِ,_
32,وَذٰلِكَ بِمَدِينَة شانغْهاي تَبْلُغ سَعَة التَخْزِين لَقُرْص الأَشِعَّة,_
33,إِلّا أَنَّهُ لَم يَتَمَكَّن مَعَ ذٰلِكَ مِن العَضّ,_
34,الأُخْرَى,_
35,أَمّا الكروم، فَقَد غَرَسَت فِي مَناطِقِ مِن الجَزِيرَةِ,_
36,التَرْبِيَةِ والتكوين، حَظِيَ بِدَعْمٍ قَوِيٍّ مِن قِبَلَ أَعْلَى,_
37,الرِيفِيّات اللّاتِي عَمِلْنَ فِي المُدُنِ وَاللّاتِي لَم يُغادِرْنَ,_
38,وَأَشارُوا فِي حَدِيثهم إِلَى أَنَّ مُسْتَوَياتٍ,_
39,مَرْحَلَةِ التَعْلِيمِ الثانَوِيِّ,_
40,العَرِيقِ وَالحاضِر المُفِيدِ وَالمُسْتَقْبَلِ المَشْرِقِ,_
41,أَخِيرا لَم تَكُن جَمِيعُها نُصُوصاً حميريه,_
42,وَتَوَّهَ الرَئِيسِ إِلَى أَهَمِّيَّةً دَعْمِ العُمّالِ الفَلّاحَيْنِ العائِدِينَ,_
43,طَبَّقَت عَلَى الأَشْجارِ خِلالَ فَتْرَةٍ الدراسه، حَيْثُ اِعْتَمَدَ,_
44,وَطُرُقِ الإِنْتاجِ بِأَدْنَى مُسْتَوَياتٍ الحراثه، حَيْثُ كانَت العَلاقَةِ,_
45,عُمَر الأَشْجارِ مِن أَجْلِ تَجْدِيدِ شَباب الأَشْجارِ وَتَحْسِينِ,_
46,كِتابِ الأَخ الأُسْتاذ / عَلَى مُصْطَفَى المصراتي ،,_
47,كانَ أَبْخَل مِن بَرّاً اللّٰه وَأَطْيَب مِن بَرّاً,_
48,مُشْتَقّه مِن فِعْلٍ شائِع,_
49,عِلْماً لَقَوْمِيّه فِي الشِعْرِ الجاهِلِيّ,_
50,فِي بِعَضِّ المواسم، أَو كانَ بَقايا نهر، أَثَّرَت,_
51,لِلشِعْرِ عِنْدَ الجاهِلِيَّيْنِ إِلّا أَنَّنا لا نَجِد حمادا,_
52,وَكانَ التُجّارِ الأَجانِبِ قَد حَصَلُوا مُنْذُ القَرْنِ السادِسِ,_
53,وَالقائِلُونَ إِن سارِقَيْنِ مِن أَصْلِ لَفْظَتَيْنِ سارّه ووج,_
54,هٰذا التَقْسِيم وَما رَواهُ الرُواة مِن أَخْبارُ تِلْكَ,_
55,وَمِن السُيّاحِ الَّذِينَ اِخْتَلَطُوا بِقَبائِل بِلادِ العَرَبِ ،,_
56,نُسْخَةً مِن كِتابِها وَقِيمَتُها خَمْسمائَة وَخَمْسَةِ وَأَرْبَعُونَ مِلْيُونِ,_
57,الجَوِّيَّةِ وَمِن أَشِعَّة شَمْس مُحْرَقَةٍ مُنْهِكه وَمِن إِشْعاع,_
58,المُمَيَّزَةِ بِشَكْلٍ واضح. وَهٰذا مِن وِجْهَةِ نَظَرِنا ما,_
59,فِي ذٰلِكَ العامِّ وَهٰذا يَعُود أَساساً إِلَى شِدَّةٍ,_
60,"وَأَمّا ""الخنفري""، صاحِبِ السجل، فَهُوَ ""محمد بِن إِبّان",_
61,الفَنِّ جَرْحَى فَنِّ الأَداءِ وَهُوَ التَمْثِيلِ وَفَنٍّ الإِخْراج,_
62,إِلَى عَثَرَ جِيئَة وَذَهاباً إِلّا أَنَّهُ يَضَع العَرْضِ,_
63,الصِحِّيَّةِ فِي المَدارِسِ القائِمَةِ وَالمَدارِسِ الجديده، بِناءَ المَدارِسِ,_
64,يُرَكِّز أَصْحابِ هٰذِهِ النَظَرِيَّةِ عَلَى أَنَّ شِدَّة الأَشِعَّة,_
65,تَعاوُنٍ المَعْهَدِ مَعَ قِسْمِ اللُغَةِ الصِينِيَّةِ بِجامِعَةِ القاهِرَة,_
66,وَقَد بَقِيَت بِعَضِّ المَواضِع المَذْكُورَة تَسْتَغِلّ مَعادِنها فِي,_
67,لِهٰذا فَإِنَّ المُدَّةِ المُقَدَّرَةِ لَنُضُوبه هِيَ مِائَةِ وَخَمْسَةِ,_
68,خَمْسمائَة نُسْخَةً فِي عامَ أَلْفَ وَتِسْعمائَة وَسَبْعَةِ وتسعون،,_
69,مَجْمَعِ مَعَ نِظامِ تَشْغِيلِ النَوافِذ (وندوز)، وَمِن ثُمَّ,_
70,آل نَصْر المتاخرين، وَبِعَضِّ الأَخْبار المنعلقه بهم، أَمّا,_
71,كما أسس الترك,_
72,مِن جلده! فَلَمّا رَأَى فَرَحِهِ قَد تُضاعِف قال:,_
73,مِن ناحِيَةٍ وَفِي لِيبِيا مِن ناحِيَةٍ اخري، عَلَى,_
74,الأَسالِيبِ وَالاِبْتِكارات وَالصِناعاتِ وَالتَقْنِيَّةِ ثُمَّ تَحْوِيرها وَتَطْوِيرِها بِما,_
75,عَن طَرِيقِ الأَشِعَّة الكَوْنِيَّة الَّتِي تَمُرّ بِالغِلاف الجَوِّيِّ,_
76,صُور المادَّةُ الرقميه، مِن مِلَفّاتِ تَتَضَمَّن مَخْطُوطاتِ غَيْرِ,_
77,ناتِجا عَن قُوَّةٍ نُمُوِّ الأَصْلِ وَالأَصْناف المُسْتَخْدَمَةِ مِن,_
78,الجَدْوَلُ أَيْض أَنَّ مُكافَحَةِ الحشائش بِدُونِ اِسْتِخْدام,_
79,الشرقيه، وَلَعَلَّهُ كانَ تاجِرا مِن التُجّارِ الَّذِينَ كانُوا,_
80,لٰكِنَّ دُوَلِ الخَلِيجِ خِلافاً لِدُوَلِ أُخْرَى كَثِيرَةٍ مازالَت,_
81,يَتَّضِح مِن البَياناتِ الواره بِنَفْسِ الجَدْوَلُ أَنَّ أَكْثَرَ,_
82,رطبه والاخرى صحراويه الى ظروف تتسم بتقلب المناخ,_
83,وَنَتِيجَة لِكَوْنِ هٰذا الغازِ لا يَشْتَعِل وَلا يُساعِد,_
84,فِي البدايه، ثُمَّ مُحاكاة التَرْكِيبُ وَتَعْلَم الروح. إِذا,_
85,اِعْتَمَدَ مُؤْتَمَرٍ رِيُو دِي جانيرو، أَو ما يُسَمَّى,_
86,المَرْئِيّات العالِيَة الوُضُوحِ فِي الصين، وَيَعْتَقِدانِهِ أَحْدَثِ,_
87,وَالسِتِّينَ,_
88,طَوِيلٍ,_
89,وَالكَلَأ فَهُم رَحَلَ فَحَيْثُ ما تَسْقُط الأَمْطارِ يَتَنَقَّلُونَ,_
90,لِأُفَضِّل المبيعات. كانَت تِلْكَ واحِدَةٍ مِن اللَحَظاتِ الهامه.,_
91,وَقَد اِعْتَبَرَ فَرَجِي أَنَّ النِظامِ الامثلللزراعه هُوَ الَّذِي,_
92,اليَمَنِ الشَرْقِيَّة ، كَما أَسْلَفَنا إِذ لا شَيْء,_
93,السياق، يَجْدُر التَأْكِيدُ عَلَى ضَرُورَةِ ننسيق جَمِيعِ هٰذِهِ,_
94,يَتَأَدَّب فِيهِ وَيَتَعَلَّم الطاعَةَ,_
95,وَإِذا كانَ القُدامَى قَد أَخْطَأُوا فِي فَهُم مَعْنَى,_
96,ظاهِرَةِ البيدو. مِن المُلاحَظِ أَنَّ اللاشعه الشَمْسِيَّةُ تَسْقُط,_
97,داعَبَت أَحَدُ المَكْتَباتِ بِلَنْدَن قُرّاءها بِنافِذَة عَرَضَ كبيره:,_
98,كُلُّها فِي ذٰلِكَ الوَطَنِ الجَدِيدِ,_
99,التَساؤُلاتِ العَمِيقَةِ القادِرَةِ عَلَى بَلْوَرَةِ المَشارِيعِ الكُبْرِي,_
100,عطعوط وَهِلال خازِن عَفِيف للحج. بَدَأَت قَوافِلَ الحَجِيج حاجّ أَثْرَ,_
101,وَلِتُشْبَع نَفْسِها بُعْدَ جَوَّعَ وعطش. وَتَفْرَح الابل، وَيُدِر,_
102,لِلإِقامَة فِي بُيُوتِهِم وَتَناوَلَ طعامهم. لاحَظَت ما لِيَ,_
103,التَنافُسِ فِي تَقْدِيمِ كُلِّ جَدِيدٍ بِاللُغَةِ المَحَلِّيَّةِ,_
104,خ ض، ب س ش، ص غ ه,_
105,وَهُوَ مَلِكِ مِن مُلُوكُ قتبان. وَهٰكَذا بِالنِسْبَةِ إِلَى,_
106,المَوْجُودَةِ عَلَى سَطْحِ الأَرْضِ وَكَمِّيَّةٌ الأَراضِي المَزْرُوعَةِ وَأَخِيرا,_
107,بَدْء أَعْمالٍ خاصّه فِي الريف، معترحا فِي هٰذا,_
108,مُشْمِس دراق، غيظ، ناء ،بث ،نسر,_
109,اِسْتِعْمالُها فِي مُؤَلِّفات الهمداني,_
110,فِي مناسباتها، وَأَنَّ أَخْباراً خَلَقَت خلقا،,_
111,فِي الأَوْزار وَالآثامِ وَهُوَ كَذٰلِكَ الاِمْتِناعِ عَن فِعْلٍ,_
112,مِن اِخْتِلاف أَيْدِي الكِتابِ فِي رَسْمِ الحُرُوفُ وَنُقِرّها,_
113,تُؤَدِّي الدَقائِقِ الصُلْبَةِ العالِقَةِ بِالهَواء دَوْراً ثانَوِيّا فِي,_
114,والثلب، وَالظَلِيم والشاهين، وَبُعْدَ الشَأْو وَالقَطّامِيّ وَنَحْوَ ذلك.,_
115,لهم، وَيَشْتَرُونَ مِن أَصْحابِ تَكَّ السُفُنِ ما عِنْدَهُم,_
116,رقيقه، تَتَبَعْثَر فَيُظْهَر مِن خِلالَ فَجَواتها وَجْهِ الأَرْضِ,_
117,وَكانَ,_
118,التَصَرُّفِ بَلَغَتْهُ وَسَلَكَ أَلْفاظها بِطُرُقٍ تُؤَدِّي غَرَضَهُ وَتُعَبِّر,_
119,"حَفْرِ الرَسْمُ عَلَى الخشب"". وَعَلَى مَدَى أَكْثَرَ",_
120,لِتُقابِل الاِحْتِياجاتِ المَعْرِفِيَّة والمهاريه لِلزَرّاع فِي مَجالاتِ الزِراعَةِ,_
121,أُسْرَتَيَّ تانغ وسونغ، حَيْثُ كانَت السِلَعِ الرَئِيسِيَّةِ الَّتِي,_
122,الدِيمُوغرافِيِّ فَإِنَّ العَدَدَ المُطْلَقِ لِلفُقَراءِ اِسْتَقَرَّ فِي خَمْسَةِ,_
123,كانَ ماو يُخَصَّص وَقْتاً لَقِراءَة أَعْمالٍ مَطْبُوعه بِالحَكّ,_
124,الأَرْضِ وَعِنْدَما تَصِل إِلَى طَبَقَةٌ الستراتوسفير، تَتَمَكَّن الأَشِعَّةُ,_
125,جُزْء لَعَقاقِير الأَعْشابُ,_
126,لها. وَ أَنَّ مِثْلَ هٰذِهِ الجامِعاتِ لا تُلْحِق,_
127,الباديه، المُتَحَكِّمَةِ فِيها تَحْكُم الجُنُودِ فِي القِلاع وَبِعَضِّ,_
128,"عدي"" وَ ""ابي البختري""",_
129,عِشْرِينَ نَوْعاً أَو سِلاله جغرافيه، وَهِيَ الَّتِي يَعْتَمِد,_
130,وَسَجَّلَ مَيّاسات وَمَلامِحُ الأَجْسامِ وَما إِلَى دَلَّكَ,_
131,مُتَفاوِتُونَ بِمَدَى,_
132,يُؤَدِّي اِبْتِعادُ كَوْكَبِ الأَرْضِ,_
133,فِيها أَيْضاً حَجّارَةً بُرْكانَيْهِ وَالظاهِر إِنَّها كانَت مِن,_
134,الشَرْقِيَّةِ لَها إِلَى مُلْتَقَى الحُدُودِ بِالعَرَبِيَّةِ السعيده. وَ,_
135,الحية الميتة وكذلك مخلفات و فضلات الكائنات الحية,_
136,نَحَّياهُ وَذٰلِكَ بِالعَمَلِ مِن خِلالَ نَهْضَةِ وَطَنِيَّةٍ اِعْتِماداً,_
137,تَكُون الطِباع وَفِي خَلْقُ التمايز بَيِّنَ الأَجْناسِ البَشَرِيَّةِ,_
138,يَحِقّ لِأَيّ طالَبَ الاِنْضِمامِ إِلَى التَدْرِيبِ المِهْنِيِّ المُتَوَسِّطِ,_
139,الايقار وَالثِيران وَلِحَمِير وَلِجَمال الَّتِي كاتت تُسْتَخْدَم فِي,_
140,فيها، وَيَمِيل أَهْلِها إِلَى الزِراعَةِ والاستقرار، مِثْلَ مَدِينَةِ,_
141,العُلَماءِ راو أَنَّ التَغْيِيراتِ الطارِئَةِ عَلَى غِطاءِ,_
142,بِذٰلِكَ فَتَغافَلَ صَرَّحُوا لَهُ,_
143,دَرْسَ مُفِيدٌ – بِطَبْعه أُولَى صَغِيرَةٌ مُؤَلَّفَةٌ مِن,_
144,إِلَى ما يشاكله. قالَ سَجّاده وَهُوَ أَبُو سَعِيد,_
145,وَفِي اليمن، حَيْثُ تُمَثِّل ثَقافَةِ المُجْتَمَعِ جُمْلَةِ مِن,_
146,تَعْرِف لَهُ مَثِيلاً مُنْذُ سُقُوطِ رُوما وَتَكاثَرَ سُكّانِ,_
147,بِنَفْسِ السُرْعَة,_
148,"وَ مِنهُ ما يَتَجَلَّى لَحَواسّ اخري، أَمّا """,_
149,وَبَيْنَما يَمِيل البَعْضُ إِلَى عَدَمِ التَمْيِيزِ ما بَيِّنَ,_
150,عادَةً قَدِيمَةٌ جدا، رُبَّما رافَقَت الإِنْسانِ مُنْذُ يَوْمَ,_
151,تَعْلَمهم فِي الماضي. أَهْدافٍ تَعْلِيمِ الكِبارِ وَبِناءَ عَلَى,_
152,شاعَ سَمّ وَتَصْوِيرِ الكائِنات الحَيَّةِ فِي المِنْطَقَةِ العَرَبِيَّةِ,_
153,وَالاِرْتِقاءِ بِهِ إِلَى مُسْتَوَى يَسْتَجِيب لِمُتَطَلَّباتِ التَنْمِيَة البَشَرِيَّةِ,_
154,بِكِين وَالقاهِرَةِ العريقتين، بِكُلِّ ما لَدَيهِما مِن إِرث,_
155,لِسَبَبِ بسيط،هو أَنَّ أَسالِيبها وَمَعانِيها وَنَسَّقَها لا تَتَّفِق,_
156,الَّتِي سُرْعَتُها ثَمانِيَةِ عَشَرَ كِيلُومِتراً فِي الساعَةَ مِن,_
157,"""، ""كان البرد القارس مؤلما، كأنه سهام تخترق",_
158,قَبِلَهُ وَكَذا الهِجْرَةِ وَالحَجّ وَبُعْدَ هَل يُؤاخِذ,_
159,"الوِلاياتِ المتحده. حِينِها فَقَط وَصَلَ الكِتابِ إِلَى ""القمه"".",_
160,توجد إلا فى      توجد إلا في مناطق محددة من بلد الأجداد,_
161,أُيُونات الفِلُور والكلور الَّتِي تُهاجِم جُزَيْئات الأُوزُون وَتُحَطِّمها,_
162,مُغَطَّى,_
163,تُوَضِّح النَتائِجِ الوارِدَةِ بِالجَدْوَل رَقْمِ سَبْعَةِ وُجُودِ عَلاقَة,_
164,مِن غازِ ثُنائِيٍّ اوكسيد الكَرْبُون المَوْجُودِ فِي الهَواءِ,_
165,وَبِن ما دُونِ السِجِلِّ عَنها أَكَماً كانَ,_
166,اخر. وَفِي ضِمْنَ هٰؤُلاءِ قَبائِلُ عَرَبِيَّةٍ عديده، ضاعَ,_
